機体の重量と慣性モーメント, , , , , , 
mass, 103.1, -, -, [kg] : 重量, , 
centerOfMass, 0, -0.019, 0, [m] : 重心位置(+x:前 +y:上 +z:左), , 
inertiaTensor, 961, 1024, 80, [kg*m^2] : 慣性モーメント(Ixx Izz Iyy), , 
inertiaTensorRotation, 356.071, -, -, [deg] : 慣性モーメントの回転, , 
massAircraft, 0, -, -, [kg] : 空虚重量, , 
centerOfMassAircraft, 0, -, -, [m] : 機体のみでの重心位置(+x:前のみ), , 
, , , , , , 
巡航時, , , , 地面効果, , 
Airspeed0, 10.5, [m/s] : Magnitude of ground speed, , CGEMIN, 0.215, [-] : Minimum Ground Effect Coefficient
alpha0, 1.407, [deg] : Angle of attack, , , , 
CDp0, 0.014, [-] : Parasitic drag, , 安定微係数, , 
Cmw0, -0.165, [-] : Pitching momentum, , Cyb, -0.003764, [1/deg]
CLMAX, 1.7, [-] : Maximum lift coefficient, , Cyp, -0.411848, [1/rad]
, , , , Cyr, 0.141631, [1/rad]
主翼, , , , Cydr, 0.001846, [1/deg]
Sw, 18.009, [m^2] : Wing area of wing, , Clb, -0.003656, [1/deg]
bw, 23.35, [m] : Wing span, , Clp, -0.816226, [1/rad]
cMAC, 0.813, [m] : Mean aerodynamic chord, , Clr, 0.219104, [1/rad]
aw, 0.103, [1/deg] : Wing Lift Slope, , Cldr, 3.2E-05, [1/deg]
hw, 0.08750001, [m] : Length between Wing a.c. and c.g., , Cnb, -0.000245, [1/deg]
ew, 0.986, [-] : Wing efficiency, , Cnp, -0.127263, [1/rad]
AR, 30.275, [-] : Aspect Ratio, , Cnr, -0.002745, [1/rad]
, , , , Cndr, -0.000308, [1/deg]
水平尾翼, , , , , , 
Downwash, True, Conventional Tail: True / T-Tail: False, , 離陸, , 
St, 1.651, [m^2] : Wing area of tail, , YL, 0, [m] : 機体中心から翼持ち棒までの長さ
at, 0.074, [1/deg] : Tail Lift Slope, , , , 
lt, 3.2, [m] : Length between Tail a.c. and c.g., , , , 
deMAX, 10, [deg] : Maximum elevator angle, , , , 
tau, 1, [-] : Control surface angle of attack effectiveness, , , , 
VH, 0.3608418, [-] : Tail Volume, , , , 
, , , , , , 
垂直尾翼, , , , , , 
drMAX, 15, [deg] : Maximum rudder angle, , , , 
