機体の重量と慣性モーメント, , , , , , 
mass, 109.8, -, -, [kg] : 重量, , 
centerOfMass, 0, 0.001, 0, [m] : 重心位置(+x:前 +y:上 +z:左), , 
inertiaTensor, 1486.608, 1529.392, 59.86, [kg*m^2] : 慣性モーメント(Ixx Izz Iyy), , 
inertiaTensorRotation, 354.508, -, -, [deg] : 慣性モーメントの回転, , 
massAircraft, 0, -, -, [kg] : 空虚重量, , 
centerOfMassAircraft, 0, -, -, [m] : 機体のみでの重心位置(+x:前のみ), , 
, , , , , , 
巡航時, , , , 地面効果, , 
Airspeed0, 10.4, [m/s] : Magnitude of ground speed, , CGEMIN, 0.21, [-] : Minimum Ground Effect Coefficient
alpha0, 1.355, [deg] : Angle of attack, , , , 
CDp0, 0.013, [-] : Parasitic drag, , 安定微係数, , 
Cmw0, -0.128, [-] : Pitching momentum, , Cyb, -0.003104, [1/deg]
CLMAX, 1.7, [-] : Maximum lift coefficient, , Cyp, -0.317546, [1/rad]
, , , , Cyr, 0.112886, [1/rad]
主翼, , , , Cydr, 0.002013, [1/deg]
Sw, 19.653, [m^2] : Wing area of wing, , Clb, -0.002799, [1/deg]
bw, 25.697, [m] : Wing span, , Clp, -0.850998, [1/rad]
cMAC, 0.795, [m] : Mean aerodynamic chord, , Clr, 0.224309, [1/rad]
aw, 0.104, [1/deg] : Wing Lift Slope, , Cldr, 3.9E-05, [1/deg]
hw, 0.09999999, [m] : Length between Wing a.c. and c.g., , Cnb, -0.000132, [1/deg]
ew, 0.986, [-] : Wing efficiency, , Cnp, -0.129671, [1/rad]
AR, 33.59975, [-] : Aspect Ratio, , Cnr, -0.001558, [1/rad]
, , , , Cndr, -0.000282, [1/deg]
水平尾翼, , , , , , 
Downwash, True, Conventional Tail: True / T-Tail: False, , 離陸, , 
St, 1.719, [m^2] : Wing area of tail, , YL, 0, [m] : 機体中心から翼持ち棒までの長さ
at, 0.083, [1/deg] : Tail Lift Slope, , , , 
lt, 3.03, [m] : Length between Tail a.c. and c.g., , , , 
deMAX, 10, [deg] : Maximum elevator angle, , , , 
tau, 1, [-] : Control surface angle of attack effectiveness, , , , 
VH, 0.3333669, [-] : Tail Volume, , , , 
, , , , , , 
垂直尾翼, , , , , , 
drMAX, 10, [deg] : Maximum rudder angle, , , , 
