// Plane,,,,,,
mass,100,,,,// Ground Effect,
centerOfMass,0,0.053,0,,CGEMIN,0.23
inertiaTensor,993.022,1028.254,50.789,,,
inertiaTensorRotation,-5.102,,,,// Stability derivatives,
// Specification At Cruise without Ground Effect,,,,,Cyb,
Airspeed0,10.5,,,,Cyp,
alpha0,0,,,,Cyr,
CDp0,0.007,0.15,,,Cydr,
Cmw0,-0.132,,,,Clb,
CLMAX,1.7,,,,Clp,
// Wing,,,,,Clr,
Sw,18.989,,,,Cldr,
bw,24.975,,,,Cnb,
cMAC,0.812,,,,Cnp,
aw,0.103,,,,Cnr,
hw,0.1,,,,Cndr,
ew,0.987,,,,,
AR,32.848,,,,//追加機体データ,
// Tail,,,,前センサーから吊り具(桁中心)までの長さ[m],lengthForward,0.865
Downwash,TRUE,,,吊り具(桁中心)から後センサーまでの長さ[m],lengthBackward,0.435
St,1.769,,,機体のみ重心位置[m],aircraftCenterOfMass,-0.2
at,0.082,,,機体のみ質量[kg],aircraftMass,48
lt,2.9,,,機体中心からハードポイントの位置[m],YL,2.8
deMAX,10,,,桁中心から垂直に線を超音波センサーの位置までおろした時の線の長さ[m],SensorPositionY,1
tau,1,,,↑の到達点から超音波センサーまでの長さ[m],SensorPositionX,0
VH,0.333,,,,,
bt,3.276,,,,,
,,,,,,
// Fin (Extra),,,,,,
Sf,0.632,,,0.5961,0.005000003,
bf,1,,,3.6,,
af,0.048,,,18.361,,
lf,3.5,,,23.375184,,
tau,1,,,,,
zf,0.5,,,,,
VF,0.004663641,,,,,
drMAX,15,,,,,
